track_id,track_name,album_id,album_name,album_type,release_date,all_track_artist_names,sample_artist_names,n_sample_artists_on_track,track_url
7mebNFbb0ehL1IX1DMktdC,The Flag is Raised,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/7mebNFbb0ehL1IX1DMktdC
62ULDRgBvShFOFQoz4mTEb,5 Star Crest (4 Vattenrum),3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/62ULDRgBvShFOFQoz4mTEb
6P6ePnHNkEnoQFoSsoFJV6,White Meadow,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/6P6ePnHNkEnoQFoSsoFJV6
0Nrd79QrK5WXiqxKMgTUX3,Faust,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/0Nrd79QrK5WXiqxKMgTUX3
0R0czNP4FyJC842cXqRfNF,Yeses (Red Cross),3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/0R0czNP4FyJC842cXqRfNF
3xTUOCFRAsBHVFuwhpv5t3,Desire is a Trap,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/3xTUOCFRAsBHVFuwhpv5t3
3JA9NLn4RBWjqACyoQhNLV,Chaos Follows,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/3JA9NLn4RBWjqACyoQhNLV
7hvwgwbZCCGZaNRQSf8bin,Girls Just Want to Have Fun,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/7hvwgwbZCCGZaNRQSf8bin
0WK9wiVliZ1xybNZqsbJAv,Heaven Sings,3j75sKW2Lw9gUEhjNzPKn4,Crest,album,2022-03-18,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/0WK9wiVliZ1xybNZqsbJAv
76VqIl6O9RtfS3KnbXS2Y3,Rainbow - make it double Oklou Mix,027HKBDXnf9MZOgSul9omC,Good Luck (Deluxe),album,2021-05-11,Bladee; Mechatok; Oklou,Bladee; Oklou,2,https://open.spotify.com/track/76VqIl6O9RtfS3KnbXS2Y3
2foluZFr221RFvoAQoP78w,WONDERLAND,7Jo4N42wOOKa6FolEXCSI3,EXETER,album,2020-04-08,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/2foluZFr221RFvoAQoP78w
24UWvgWEtdgbWkOEhHfW5G,LOVESTORY,7Jo4N42wOOKa6FolEXCSI3,EXETER,album,2020-04-08,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/24UWvgWEtdgbWkOEhHfW5G
086iuh3xnBANKx1VabmhAE,Waterfall,30zy3JHuDxZbBWGf8rGZGX,Trash Island,album,2019-09-12,Thaiboy Digital; Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/086iuh3xnBANKx1VabmhAE
7EDtVvIGu5GOad04oh3UYx,Victim,30zy3JHuDxZbBWGf8rGZGX,Trash Island,album,2019-09-12,Bladee; Thaiboy Digital; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/7EDtVvIGu5GOad04oh3UYx
1zX178V8sWozr96MrfmRun,Western Union,30zy3JHuDxZbBWGf8rGZGX,Trash Island,album,2019-09-12,Ecco2k; Thaiboy Digital; Bladee,Ecco2k; Bladee,2,https://open.spotify.com/track/1zX178V8sWozr96MrfmRun
0xIozNTbJEM1Gy0gSbZ7Pp,The Void,30zy3JHuDxZbBWGf8rGZGX,Trash Island,album,2019-09-12,Bladee; Ecco2k; Thaiboy Digital,Bladee; Ecco2k,2,https://open.spotify.com/track/0xIozNTbJEM1Gy0gSbZ7Pp
2KNWwbHypTQhTO0U0sjYxC,Acid Rain,30zy3JHuDxZbBWGf8rGZGX,Trash Island,album,2019-09-12,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/2KNWwbHypTQhTO0U0sjYxC
5sMeF22YDuHZ26cdgAI2GH,You Lose,30zy3JHuDxZbBWGf8rGZGX,Trash Island,album,2019-09-12,Ecco2k; Bladee; Thaiboy Digital,Ecco2k; Bladee,2,https://open.spotify.com/track/5sMeF22YDuHZ26cdgAI2GH
5adW1n6jrFcc4sRAtFeQVX,Obedient,0NCLTcIG4kbORFysmf56BW,Red Light,album,2018-05-11,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/5adW1n6jrFcc4sRAtFeQVX
72QEZU1irVPiifDfmgmOVn,For You,0NCLTcIG4kbORFysmf56BW,Red Light,album,2018-05-11,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/72QEZU1irVPiifDfmgmOVn
3c3P9O9ThVaIK9f1ksJDM5,Cherry Bracelets,0kJ6BPe0ucJGaGvcVxvmjR,Working on Dying,album,2017-12-28,Bladee; Yung Lean; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/3c3P9O9ThVaIK9f1ksJDM5
35nVhMWwjp1GauAAvttfoa,First Crush,2mygaVOnVsDZykKbiWQK1K,D&G,album,2017-08-07,Bladee; Ecco2k; Yung Lean,Bladee; Ecco2k,2,https://open.spotify.com/track/35nVhMWwjp1GauAAvttfoa
318LqxbsueP3wdNQ2itF4D,Cinderella,2mygaVOnVsDZykKbiWQK1K,D&G,album,2017-08-07,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/318LqxbsueP3wdNQ2itF4D
1faCDpeyt1tcXNFUeZ5W5M,Stalker,2mygaVOnVsDZykKbiWQK1K,D&G,album,2017-08-07,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/1faCDpeyt1tcXNFUeZ5W5M
295LrClZ5DEUetIaLcS8Iq,Brokeboy,1izV69He2Zy4xaNnhtm4PJ,AvP,album,2016-12-09,Bladee; Thaiboy Digital; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/295LrClZ5DEUetIaLcS8Iq
5WPARJFAemzCHkpwyDhEf5,So What,0ZyoyTZbl3g0IwkNlpg633,Eversince,album,2016-05-25,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/5WPARJFAemzCHkpwyDhEf5
7lsxrbHKYBNcRW53M9RQ0U,Bloodveil / Stillborn,0ZyoyTZbl3g0IwkNlpg633,Eversince,album,2016-05-25,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/7lsxrbHKYBNcRW53M9RQ0U
6jRCP46FGnbXAcJcOt51rZ,Ebay,1pBLLI9jbR05lCW8mKBiAP,Gluee,album,2014-01-27,Bladee; Thaiboy Digital; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/6jRCP46FGnbXAcJcOt51rZ
6wtzU740nPNrISiUyFjLyc,take me by the hand - Aaron Hibell remix,3XVJ9mW3dKjoXrMDpT9r1m,take me by the hand (Aaron Hibell remix),single,2025-06-24,Oklou; Bladee; Aaron Hibell,Oklou; Bladee,2,https://open.spotify.com/track/6wtzU740nPNrISiUyFjLyc
1FiyPGjxAFATNcQUxOPzU7,take me by the hand,3XVJ9mW3dKjoXrMDpT9r1m,take me by the hand (Aaron Hibell remix),single,2025-06-24,Oklou; Bladee,Oklou; Bladee,2,https://open.spotify.com/track/1FiyPGjxAFATNcQUxOPzU7
